版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.1,调饮,シェイカーを振る,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>50,000金碟币",/shakedrink,064455.tex,xx开始在xx面前摇晃摇壶。,xx开始摇晃摇壶。,0
7.1,浇水,水をまく,特别,成就币交换,/water,064454.tex,xx开始给xx浇水。,xx开始浇水。,0
7.1,待命,指示を待つ,特别,PVP第七季通行证5级奖励（截止至7.2前）,/attend,064453.tex,xx开始等待xx的指示。,xx开始等待指示。,0
?,扇大团扇,大うちわで扇ぐ,通常,2025年红莲节奖励,/uchiwasshoi,064452.tex,xx对着xx用大团扇扇风。,xx用大团扇扇风。,0
6.58,制作煎蛋,目玉焼きを作る,通常,2024年官方运营活动获得,/fryegg,064451.tex,xx为xx烹饪了一份简单美味的煎蛋。,xx烹饪了一份简单美味的煎蛋。,0
6.58,众生离绝,エクソダス,特别,实体特典,/sundering,064446.tex,xx向xx发动了“众生离绝”，没有造成伤害。,xx跃向高空，发动众生离绝。,0
?,吃炸鸡,フライドチキンを食べる,通常,2025年官方运营活动获得,/eatchicken,064445.tex,xx在的面前愉快地吃起了炸鸡。,xx愉快地吃起了炸鸡。,2
7.x,比心,ハートポーズ,特别,2025年恋人节奖励,/loveheart,064448.tex,xx通过比心向xx传达爱意。,xx通过比心传达爱意。,0
6.55,兔兔舞,レポリットダンス,特别,完成6.55的「友好部族联合任务」后获得,/lophop,064443.tex,xx在xx面前跳起了兔兔舞。,xx跳起了兔兔舞。,0
6.51,得意洋洋,自慢げなポーズ,通常,「阿罗阿罗金币」x9 兑换,/humbletriumph,064449.tex,xx在xx面前得意洋洋地摆出了骄傲的姿势。,xx得意洋洋地摆出了骄傲的姿势。,0
6.51,大获全胜,ビーンズ?ビクトリー,通常,糖豆人联动,/victoryreveal,064450.tex,xx在xx面前庆祝了胜利。,xx庆祝了胜利。,0
6.5,垂头丧气,うなだれる,特别,PVP第五季通行证5级奖励（截止至7.0前）,/slump,064447.tex,xx在的面前垂头丧气，提不起一点精神。,xx垂头丧气，提不起一点精神。,0
6.45,比对文献,文献と見比べる,通常,「六根山遗物」x9 兑换,/reference,064444.tex,xx在xx面前比对了文献。,xx比对了文献。,0
6.45,守护天节的魔咒,守護天節のおまじない,通常,2024年万圣节活动任务奖励,/allsaintscharm,064442.tex,xx对xx施展了守护天节的魔咒。,xx施展了守护天节的魔咒。,0
6.4,雀跃1,ハッピージャンプ1,通常,官网道具商城购买,/jumpforjoy1,064433.tex,xx在xx面前开心地跳了起来，动作格外可爱。,xx开心地跳了起来，动作格外可爱。,0
6.4,雀跃2,ハッピージャンプ2,通常,官网道具商城购买,/jumpforjoy2,064434.tex,xx在xx面前开心地跳了起来，动作格外欢乐。,xx开心地跳了起来，动作格外欢乐。,0
6.4,雀跃3,ハッピージャンプ3,通常,官网道具商城购买,/jumpforjoy3,064435.tex,xx在xx面前开心地跳了起来，跳得格外的高。,xx开心地跳了起来，跳得格外的高。,0
6.4,雀跃4,ハッピージャンプ4,通常,官网道具商城购买,/jumpforjoy4,064436.tex,xx在xx面前开心地跳了起来，动作格外舒展。,xx开心地跳了起来，动作格外舒展。,0
6.4,雀跃5,ハッピージャンプ5,通常,官网道具商城购买,/jumpforjoy5,064437.tex,xx在xx面前开心地跳了起来，动作好像仙人刺。,xx开心地跳了起来，动作好像仙人刺。,0
6.4,声援小白,声援：白,特别,官网道具商城购买,/cheeronbright,064439.tex,xx热烈声援xx。,xx开始声援。,0
6.4,声援小紫,声援：紫,特别,官网道具商城购买,/cheerwaveviolet,064440.tex,xx热烈声援xx。,xx开始声援。,0
6.4,声援小绿,声援：緑,特别,官网道具商城购买,/cheerjumpgreen,064441.tex,xx热烈声援xx。,xx开始声援。,0
6.4,猛き光の降臨,威光降临,通常,官网道具商城购买,/adventoflight,064432.tex,xx像光之战士一样英勇降临于xx面前。,xx像光之战士一样英勇降临。,0
6.4,手抚胸,胸に手をあてる,通常,PVP第四季通行证5级奖励（截止至6.5前）,/handtoheart,064438.tex,xx面向xx以手抚胸。,xx以手抚胸。,0
6.35,摇兔兔耳,おみみピコピコ,通常,兔兔族友好度到达-血誓后<br/>在该蛮族商店用8枚兔兔人参币兑换,/earwiggle,064430.tex,xx对xx摇了摇兔兔耳。,xx摇了摇兔兔耳。,0
6.4,吓唬人,驚かす,通常,2024年彩蛋节奖励,/frighten,064431.tex,xx吓唬xx。,xx吓唬人。,0
6.5,公主之舞,姫の舞踊,通常,2024年女儿节奖励,/ladance,064428.tex,xx在xx面前跳起公主之舞。,xx跳起公主之舞。,0
6.3,通讯珠,リンクパール通信,通常,PVP第三季通行证5级奖励（截止至6.4前）,/linkpearl,064429.tex,xx对xx用通讯珠交流。,xx用通讯珠交流。,0
6.3,魔术,手品,特别,官网道具商城购买,/magictrick,064427.tex,xx对xx表演魔术。,xx表演魔术。,0
6.4,吃恋人巧克力,ヴァレンティオンチョコを食べる,通常,2024年恋人节奖励,/eatchocolate,064415.tex,xx开始品尝恋人巧克力，仿佛有种恋爱的味道。,xx开始在xx面前品尝恋人巧克力，仿佛有种人生赢家的味道。,0
6.25,两眼放光,目を輝かせる,通常,旧萨雷安(X:12.0 Y:13.3)特里萨桑<br />「希拉狄哈遗物」x9兑换,/wow,064425.tex,xx对xx两眼放出光芒。,xx两眼放出光芒。,0
6.2,叛逆精神,反骨精神を示す,通常,官网道具商城购买,/deride,064424.tex,xx对xx做了一个鬼脸。,xx做了一个鬼脸。,0
6.2,吃南瓜曲奇,パンプキンクッキーを食べる,通常,2023年守护天节季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eatpumpkincookie,064414.tex,xx在xx面前有滋有味地吃起了南瓜曲奇。,xx有滋有味地吃起了南瓜曲奇。,0
6.2,观战,観戦する,特别,PVP第二季通行证5级奖励（截止至6.3前）,/spirit,064426.tex,xx开始在xx面前手舞足蹈地观战。,xx开始手舞足蹈地观战。,0
6.15,饮用红茶,紅茶を飲む,通常,官网道具商城购买,,064418.tex,xx在xx面前优雅地喝起了红茶。,,0
6.1,收回武器,武器を収める,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",,064422.tex,xx在xx的面前收回了武器。,,0
6.1,亮出武器,武器を構える,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",,064423.tex,xx对xx亮出了武器。,,0
6.1,干劲十足,意気込む,通常,PVP第一季通行证5级奖励,,064419.tex,xx对xx表示自己干劲十足。,,0
6.3,吃水煮蛋,ゆで卵を食べる,通常,2023年彩蛋节季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064417.tex,xx在xx面前愉快地吃起了水煮蛋。,,0
6.3,展现右侧,見せつける：右,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064420.tex,xx向大家展现xx的魅力。,,0
6.3,展现左侧,見せつける：左,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064421.tex,xx向大家展现xx的魅力。,,0
5.58,吃披萨,ピザを食べる,通常,国际服美版账号线下联动，国服未知,/eatpizza,064413.tex,x在x的面前愉快地吃起了披萨。,x愉快地吃起了披萨。,0
5.55,搓手,もみ手をする,持续,「扎杜诺尔高原」<br/> 「高原上锁的宝箱」一定几率掉落,/wringhands,064404.tex,x在x面前搓起了手。,x搓起了手。,0
5.55,嘘,静寂を促す,全般,5.55主线全部做完获得,/shush,064412.tex,x提醒x保持安静。,x保持安静。,0
5.5,默剧,パントマイム,通常,官网道具商城购买,/pantomime,064410.tex,x为x表演起了默剧。,x表演起了默剧。,0
5.5,困惑,困惑する,通常,2022年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/vexed,064411.tex,x对x的言行举止感到困惑。,x感到困惑。,0
5.45,诅咒,呪う,持续,南方博兹雅战线<br/>博兹雅晶簇x50 交换,/malevolence,064399.tex,x诅咒了x。,x满脸恶意地诅咒着。,0
5.41,吃饭团,おにぎりを食べる,通常,重建伊修加德 天穹街振兴票x1800,/eatriceball,064402.tex,x在x面前大口地吃起了饭团。,x大口地吃起了饭团。,0
5.41,吃苹果,リンゴを食べる,通常,重建伊修加德「库啵好运道」二等奖,/eatapple,064403.tex,x在x面前悠闲地吃起了苹果。,x悠闲地吃起了苹果。,0
5.41,扫地,ホウキで掃く,持续,重建伊修加德 天穹街振兴票x1800,/sweep,064405.tex,x开始为x清扫地面。,x开始扫地。,0
5.4,花雨,フラワーシャワー,通常,官网道具商城购买,/flowershower,064395.tex,x在xx面前撒下了一片花雨。,x沐浴在花雨中。,0
5.4,蓝色陆行鸟之笔,チョコボの筆：青,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblue,064409.tex,x当着xx的面将脚下涂成了一片碧蓝。,x将自己的脚下涂成了一片碧蓝。,0
5.4,黄色陆行鸟之笔,チョコボの筆：黄,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintyellow,064408.tex,x当着xx的面将脚下涂成了一片奶黄。,x将自己的脚下涂成了一片奶黄。,0
5.4,红色陆行鸟之笔,チョコボの筆：赤,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintred,064407.tex,x当着xx的面将脚下涂成了一片粉红。,x将自己的脚下涂成了一片粉红。,0
5.4,黑色陆行鸟之笔,チョコボの筆：黒,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblack,064406.tex,x当着xx的面将脚下涂成了一片漆黑。,x将自己的脚下涂成了一片漆黑。,0
5.4,欧米茄M架势,オメガMの構え,持续,实体特典,/simulationm,064384.tex,x对xx做出了欧米茄M的架势。,x做出了欧米茄M的架势。,0
5.4,欧米茄F架势,オメガFの構え,持续,实体特典,/simulationf,064385.tex,x对xx做出了欧米茄F的架势。,x做出了欧米茄F的架势。,0
5.35,巡视,警備する,持续,南方博兹雅战线<br/>博兹雅晶簇x50 交换,/guard,064398.tex,x对xx周围进行巡视。,x巡视四周。,0
5.31,击掌,ハイタッチ,通常,重建伊修加德 天穹街振兴票x1800,/highfive,064397.tex,x与xx默契地击掌。,x做出了击掌的动作。,0
5.3,啦哩吼舞,ラリホップ,持续,矮人族族友好度到达-血誓后<br/>在该蛮族商店用8枚绿蛙币兑换,/lalihop,064401.tex,x在x面前跳起了啦哩吼舞。,x跳起了啦哩吼舞。,0
5.3,蜜蜂之舞,ビーステップ,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/beesknees,064400.tex,x在x面前跳起了蜜蜂之舞。,x跳起了蜜蜂之舞。,0
5.3,火焰之舞,フレイムダンス,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/flamedance,064396.tex,x在x面前跳起了火焰之舞。,x跳起了火焰之舞。,0
5.3,嘿哟,わっしょい,持续,官网道具商城购买,/wasshoi,064394.tex,x对着x嘿哟嘿哟鼓起劲来。,x嘿哟嘿哟鼓起劲来。,0
5.3,疑问,疑問を抱く,通常,2021年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/consider,064392.tex,x对x产生了疑问。,x心怀疑问。,0
5.2,吃面包,パンを食べる,通常,重建伊修加德「库啵好运道」,/breakfast,064390.tex,x在x面前优雅地吃起了面包。,x优雅地吃起了面包。,0
5.2,看书,本を読む,通常,重建伊修加德 天穹街振兴票x1800,/read,064391.tex,x在x面前悠闲地看起了书。,x悠闲地看起了书。,0
5.2,坚持主张,主張する,通常,重建伊修加德 天穹街振兴票x1800,/insist,064393.tex,x对x发表了自己的主张。,x发表了自己的主张。,0
5.2,打响指,フィンガースナップ,通常,官网道具商城购买,/snap,064389.tex,x对x华丽地打了个响指。,x华丽地打了个响指。,0
5.15,头痛,頭痛,通常,泪男子拉图迦(乌尔达哈来生回廊X:12.5 Y:13.0)<br />同盟徽章400兑换<br />需完成青魔法师60级职业任务「永别了，初代蓝色假面」后，开放兑换,/headache,064387.tex,x对x感到头疼露出了苦相。,x因头痛而面露苦相。,0
5.11,背靠,斜め立ち,持续,艾妮(天穹街X:12.0 Y:14.0）<br />天穹街振兴票x1800兑换,/lean,064388.tex,无,无,0
5.1,干杯,乾杯する,通常,官网道具商城购买,/toast,064386.tex,向x举起杯子想要碰撞一下。,x高举杯子一饮而尽。,0
5.x,趾踵步,ヒールトー,持续,官网道具商城购买,/heeltoe,064376.tex,对x跳起了趾踵步。,跳起了趾踵步。,0
5.x,古菩步,グゥーブー?ドゥ,持续,官网道具商城购买,/goobbuedo,064377.tex,对x跳起了古菩步。,跳起了古菩步。,0
4.5,究极,アルテマ,持续,国际服实体特典,/ultima,064364.tex,向x展现了究极的力量。,展开双翼，发动究极！,0
*,寒冰的幻想,氷結の幻想,持续,实体特典,/iceheart,064332.tex,在x面前与冰共舞。,与冰共舞。,0
*,斩铁剑,斬鉄剣,持续,实体特典,/zantetsuken,064327.tex,在x面前斩裂了空间。,斩裂了空间。,0
*,百万核爆,メガフレア,持续,官网道具商城购买,/megaflare,064352.tex,对x使用了“百万核爆”，没有造成伤害。,放出了核爆般的光芒。,0
*,蓄力迸发,力を高める,通常,官网道具商城购买,/powerup,064339.tex,对着x爆气。,开始蓄力。,0
4.4,波波托步,ポポトステップ,持续,官网道具商城购买,/popotostep,064371.tex,x对x跳起了波波托步。,x跳起了波波托步。,0
4.4,幻想舞步,ゲットファンタジー,持续,官网道具商城购买,/getfantasy,064370.tex,x对x跳起了幻想舞步。,x跳起了幻想舞步。,0
*,侧步,サイドステップ,持续,官网道具商城购买,/sidestep,064363.tex,在x面前秀起了侧步。,跳起了侧步。,0
*,方形步,ボックスステップ,持续,官网道具商城购买,/boxstep,064362.tex,对着x跳起了方形步。,踩着方形步翩翩起舞。,0
*,东方传统舞蹈,東方の伝統舞踊,持续,官网道具商城购买,/easterndance,064093.tex,在x面前跳起了东方传统舞蹈。,跳起了东方传统舞蹈。,0
*,小黄莺之舞,歌姫を真似る,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/songbird,064336.tex,在x面前跳起了小黄莺之舞。,跳起了小黄莺之舞。,0
*,声援小红,声援：赤,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerjump,064357.tex,热烈声援x。,开始声援。,0
*,声援小黄,声援：黄,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerwave,064356.tex,热烈声援x。,开始声援。,0
*,声援小蓝,声援：青,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheeron,064355.tex,热烈声援x。,开始声援。,0
*,深情拥抱,抱き合う,通常,双方结下永结同心誓约<br/>纯情之誓/激情之誓/钟情之誓皆可获得,/embrace,064078.tex,深情拥抱了x。,做出了深情拥抱的动作。,0
*,表达爱意,愛を表現する,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/dote,064334.tex,对x表达了爱意。,表达了爱意。,0
4.56,绅士舞步,事件屋のマンボ,持续,事件屋外传 红莲篇<br/>「最强的男人不会停歇」任务报酬,/mandervillemambo,064382.tex,对x非常绅士地跳起了舞。,跳起了绅士舞步。,0
4.56,心意,心づけ,通常,蛮族故事剧情任务 红莲篇<br/>「三种至宝」任务报酬,/gratuity,064378.tex,对x撒钱以示心意。,撒了一把钱以示心意,0
4.55,振作精神,ガッツポーズ,通常,「优雷卡 丰水之地」<br/> 「发生变异的结冰上锁宝箱」一定几率掉落,/fistpump,064379.tex,为x鼓劲。,振作起了精神。,0
*,灵光一现,閃く,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eureka,064089.tex,看着x脑海里突然灵光一现。,脑海里突然灵光一现。,0
*,绅士风度,事件屋の決めポーズ,持续,"随风而逝的结局<br/>茱莉安（乌尔达哈来生回廊 X:12.1 , Y:11.8）",/hildibrand,064079.tex,向x做出了最具有绅士风度的动作。,做出了最具有绅士风度的动作。,0
*,太棒了！,イイ！,通常,"友人的微笑<br/>斯洛菲克斯（田园郡 X:7.6 , Y:6.6）",/haurchefant,064091.tex,觉得x太棒了。,表示太棒了。,0
*,对拳,拳を突き出す,通常,水晶传承站<br/>邀请新人专属奖励,/fistbump,064080.tex,向x伸出了拳头想要对碰一下。,出了一拳。,0
*,胜利欢呼,勝ちどき,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/hurray,064075.tex,在x面前做出了胜利的欢呼！,做出了胜利的欢呼！,0
*,欢呼胜利,勝利を喜ぶ,通常,四国联合军演<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/victorypose,064086.tex,对x传达着胜利的喜悦。,传达着胜利的喜悦。,0
*,准备战斗,戦いに備える,通常,命运的齿轮<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/battlestance,064085.tex,对x做出了战斗的准备动作。,做出了战斗的准备动作。,0
*,战队演武逆黄三式,戦士の演武：参ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3l,064099.tex,对x摆出了战队演武逆黄三式的造型。,摆出了战队演武逆黄三式的造型。,0
*,战队演武逆黑二式,戦士の演武：弐ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2l,064098.tex,对x摆出了战队演武逆黑二式的造型。,摆出了战队演武逆黑二式的造型。,0
*,战队演武逆红一式,戦士の演武：壱ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1l,064097.tex,对x摆出了战队演武逆红一式的造型。,摆出了战队演武逆红一式的造型。,0
*,战队演武正黄三式,戦士の演武：参,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3r,064096.tex,对x摆出了战队演武正黄三式的造型。,摆出了战队演武正黄三式的造型。,0
*,战队演武正黑二式,戦士の演武：弐,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2r,064095.tex,对x摆出了战队演武正黑二式的造型。,摆出了战队演武正黑二式的造型。,0
*,战队演武正红一式,戦士の演武：壱,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1r,064094.tex,对x摆出了战队演武正红一式的造型。,摆出了战队演武正红一式的造型。,0
4.5,优雅仙人刺,サボテンダーポーズ,通常,19年季节活动报酬，现不可获得<br/>可等次年道具商城购买,/sabotender,064381.tex,对x模仿起了仙人刺。,优雅地模仿起了仙人刺。,0
4.4,哼歌,鼻歌,持续,"朱色慕恋<br/>文镇（红玉海X:27.8 , Y:16.4）",/hum,064372.tex,x为x哼唱了一首歌。,开始哼唱一首歌。,0
4.3,胡鹰之舞,ヨルダンス,持续,鱼商(太阳神草原 X:5.8 Y:23.4)兑换<br/>鲶鱼小判：8<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/yoldance,064365.tex,在x面前开始跳起了胡鹰之舞。,跳起了胡鹰之舞。,0
*,祝祷,おまじない,持续,床单(红玉海 X:29.3 Y:16.8)兑换<br/>珊瑚币：3<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/ritualprayer,064349.tex,开始为x祝祷。,开始祝祷。,0
*,魅惑拥抱,魅惑の抱擁,持续,摩偷罗(基拉巴尼亚边区 X:20.9 Y:26.2)兑换<br/>魔金锡币：5<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/charmed,064354.tex,被x迷得神魂颠倒。,中了魅惑拥抱。,0
*,日月之舞,太陽と月の舞,持续,"伊修加德的盟友们<br/>好身手（阿巴拉提亚云海 X:6.7 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/moonlift,064333.tex,在x面前跳起了日月之舞。,跳起了日月之舞。,0
*,太阳之舞,太陽の舞,持续,"敬畏之人<br/>利努瓦利（阿巴拉提亚云海 X:6.6 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/sundance,064084.tex,在x面前跳起了太阳之舞。,跳起了太阳之舞。,0
*,莫古莫古舞,モグモグダンス,持续,"击碎岩石的修复团！<br/>团长莫古京（翻云雾海 X:15.7 , Y:28.9 ）<br/>需要推进其蛮族声望任务，才能解放其任务",/mogdance,064090.tex,在x面前跳起了莫古莫古舞。,跳起了莫古莫古舞。,0
*,黄金之舞,ゴールデンダンス,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/golddance,064083.tex,在x面前跳起了黄金之舞。,跳起了黄金之舞。,0
*,萨维奈舞,サベネアンダンス,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/thavdance,064082.tex,在x面前跳起了萨维奈舞。,跳起了萨维奈舞。,0
*,火盆舞,ボム踊り,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/bombdance,064074.tex,在x面前跳起了火盆舞。,跳起了火盆舞。,0
*,绅士之舞,紳士の舞,持续,随风而逝的结局<br/>事件屋（希尔迪布兰德）,/mandervilledance,064072.tex,在x面前跳起了绅士之舞。,跳起了绅士之舞。,0
*,宫廷之舞,宮廷の舞,持续,"舞女的梦想舞台<br/>支线任务Lv14<br/>佩·莫尔敏（乌尔达哈现世回廊 X:10.8 , Y:9.8）",/balldance,064071.tex,在x面前跳起了宫廷之舞。,跳起了宫廷之舞。,0
*,丰饶之舞,豊穣の舞,持续,"为谁而舞<br/>支线任务Lv14<br/>艾拉尔（格里达尼亚新街 X:12.1 , Y:13.2）",/harvestdance,064070.tex,在x面前跳起了丰饶之舞。,跳起了丰饶之舞。,0
*,踢踏舞,ステップダンス,持续,"快乐的律动之舞<br/>支线任务Lv14<br/>多多赞恩（利姆萨·罗敏萨下层甲板 X:7.5 , Y:12.4）",/stepdance,064069.tex,在x面前跳起了踢踏舞。,跳起了踢踏舞。,0
4.4,表情：忍耐,表情：忍耐,表情,响彻于拂晓之声<br/>主线任务Lv70,/endure,064131.tex,x对x做出了忍耐的表情。,做出了忍耐的表情。,0
*,表情：思索,表情：空想,表情,拂晓的少年<br/>主线任务Lv70,/ponder,064129.tex,对x做出仿佛正在思索的表情。,做出仿佛正在思索的表情。,0
*,表情：沉思,表情：熟考,表情,"各大国防联军的补给负责人处兑换<br/>军票：10,000",/reflect,064126.tex,对着x陷入了沉思。,陷入了沉思。,0
*,表情：咧嘴,表情：破顔,表情,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>20,000金碟币",/biggrin,064125.tex,对x咧嘴笑了。,咧嘴笑了。,0
4.5,提醒,注意する,持续,狼印战绩15000<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人,/reprimand,064380.tex,提醒x注意。,提醒起了周围的人。,0
*,大吃一惊,仰天,通常,"霞(金碟游乐场 X:7.2 Y:7.3)购买<br/>5,000金",/aback,064360.tex,x令大吃一惊。,大吃了一惊。,0
*,单膝跪地,膝を突く,持续,艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本,/winded,064359.tex,在x面前单膝跪地。,单膝跪地。,0
*,害怕,怯える,持续,艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本,/tremble,064358.tex,被x吓得抱住了头。,害怕地抱住了头。,0
5.x,啦哩吼,ラリホー,通常,系列支线任务「啦哩吼！！」奖励，需完成以下支线后才开放该任务<br />1.矮人族的不良青年（珂露西亚岛X:12.4 Y:9.2 Z:4.1）贝奥图※风脉任务<br />2.小弟的心得！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />3.打招呼的特训！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />,/laliho,064383.tex,向x道了声啦哩吼。,啦哩吼了一下。,0
4.4,欣赏神典石,トームストーン,通常,APP预约奖励,/tomestone,064375.tex,x开始在x面前欣赏神典石。,开始欣赏神典石。,0
4.36,好冷,寒がる,持续,优雷卡恒冰之地的变异宝箱一定几率开启获得<br/>可通过演技教材:好冷学习，可在交易板购买,/shiver,064368.tex,x觉得x好冷。,感觉好冷。,0
