图标,名称,介绍,获得方法,位置,NPC,地图MAP
049195.tex,月读装甲,以月读的形象设计出的陆行鸟用装甲。,生产：裁衣匠Lv70，裁缝秘籍第六卷,,,
049198.tex,朱雀装甲,以朱雀的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第六卷,,,
049201.tex,武士装甲,以武士的形象设计出的陆行鸟用装甲。,「发生变异的爆炎上锁宝箱」鉴定,,,
049204.tex,青龙装甲,以青龙的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第六卷,,,
049207.tex,保镖装甲,以保镖的形象设计出的陆行鸟用装甲。,保镖歼灭战-稀有掉落,,,
049210.tex,缇坦妮雅装甲,以缇坦妮雅的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第六卷,,,
049213.tex,无瑕装甲,以无瑕灵君的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第六卷,,,
049216.tex,舞者装甲,以舞者的形象设计出的陆行鸟用装甲。,双色宝石x350兑换,游末邦（X:10.5 Y:12.2),广域交易商 佩德萝尼尔,id=555&x=10.5&y=12.2
049219.tex,影渊装甲,包裹着黑色装束的陆行鸟用装甲。,双色宝石x350兑换,雷克兰德（X:35.5 Y:20.5),广域交易商 秀梅,id=491&x=35.5&y=20.5
049222.tex,哈迪斯装甲,以冥王哈迪斯的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第七卷,,,
049225.tex,圣人装甲,星芒节用的陆行鸟装甲，用来运送来自繁星的礼物。,2020年星芒节活动奖励,,,
049228.tex,红宝石神兵装甲,以红宝石神兵的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第八卷,,,
049231.tex,机工士装甲,以机工士的形象设计出的陆行鸟用装甲。,天穹街振兴票x1200兑换,天穹街（X:12.0 Y:14.0）,艾妮,id=654&x=12&y=14
049234.tex,真·光之鸟甲,以光之战士的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第八卷,,,
049237.tex,绿宝石神兵装甲,以绿宝石神兵的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第八卷,,,
049240.tex,天佑装甲,以斗神天佑女王的形象设计出的陆行鸟用装甲。,24人本「女王古殿」最终Boss宝箱一定几率掉落,,,
058743.tex,博兹雅装甲,博兹雅义军风格的英勇的陆行鸟用装甲。,扎杜诺尔高原「高原上锁的宝箱」一定几率掉落,,,
058746.tex,钻石神兵装甲,以钻石神兵的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第八卷,,,
058749.tex,永暗装甲,给人以强大而永恒的黑暗印象的陆行鸟用装甲。,生产：铸甲匠Lv90，铸甲秘籍第八卷,,,
058752.tex,圣光装甲,给人以炫目而神圣的光辉印象的陆行鸟用装甲。,生产：裁衣匠Lv90，裁缝秘籍第八卷,,,
058755.tex,邮差装甲,以专为心怀爱意的人传递思念的邮差为原型制作的，用于庆祝恋人节的陆行鸟装甲。,2023年恋人节&女儿节活动奖励,,,
058758.tex,萨维奈装甲,以萨维奈传统装束形象设计出的陆行鸟用装甲。,明灯天王的宝珠x3兑换,拉札罕(X:10.6 Y:10),涅斯瓦孜,id=694&x=10.6&y=10
058761.tex,蓝羽陆行鸟装甲,以青鸟的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv80，铸甲秘籍第九卷,,,
058764.tex,饿狼陆行鸟装甲,以饿狼的形象设计出的陆行鸟用装甲。,PVP-1000战利水晶兑换,,,
058767.tex,海岛开拓者装甲,适用于开拓无人岛的陆行鸟装甲。,"「无人岛开拓」4,000谢尔达莱青船币兑换",,,
058770.tex,煞风装甲,以风之大妖异的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv90，铸甲秘籍第十卷,,,
058773.tex,炀火装甲,以火之大妖异的形象设计出的陆行鸟用装甲。,生产：裁衣匠Lv90，裁缝秘籍第十卷,,,
058776.tex,亚拉戈装甲,亚拉戈式样的陆行鸟用装甲。,6.35「正统优雷卡」铂辉宝藏一定几率鉴定出现,,,
058779.tex,高贝扎装甲,以高贝扎的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv90，铸甲秘籍第十卷,,,
058782.tex,猫耳装甲,以猫耳小员的形象设计出的陆行鸟用装甲。,"「无人岛开拓」4,000谢尔达莱青船币兑换",,,
058785.tex,泽罗姆斯装甲,以泽罗姆斯的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv90，铸甲秘籍第十卷,,,
058788.tex,旅行者装甲,和旅行者套装成套的陆行鸟装甲。,6.55「塔塔露的大繁荣商店」的「联系你我至永远的大繁荣之轮」任务奖励,,,
058791.tex,图拉尔冒险装甲,散发着图拉尔风格的陆行鸟用装甲。,双色宝石x450兑换,夏劳尼荒野（X: 28.6 Y: 30.8),广域交易商 米特佩,id=860&x=28.6&y=30.8
058794.tex,艳翼蛇鸟装甲,以艳翼蛇鸟的形象设计出的陆行鸟用装甲。,生产：雕金匠Lv100，雕金秘籍第十卷,,,
058797.tex,雷转质装甲,采用雷转质技术制作的陆行鸟用装甲。,生产：铸甲匠Lv100，铸甲秘籍第十卷,,,
058800.tex,野地装甲,采用图拉尔装饰的陆行鸟用装甲。,怪物狩猎的战利品640点交换,图莱尤拉(X: 13.9 Y: 13.4),流布加,id=855&x=13.9&y=13.4
058803.tex,永恒装甲,以永恒女王的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv100，铸甲秘籍第十一卷,,,
058806.tex,星芒市场装甲,星芒节用的陆行鸟装甲，用来运送来自繁星的礼物。,2025年星芒节活动奖励,,,
