编码,顺序,副本名称,任务,位置,NPC,地图map,装等限制,等级,所属,类型
112019.tex,3,迦楼罗讨伐战,主线,,,,无,44,2,2
112468.tex,4,究极神兵破坏作战,主线,,,,42,50,2,2
112081.tex,5,那布里亚勒斯讨伐战,主线,,,,90,50,2,2
112082.tex,6,皇都伊修加德保卫战,主线,,,,90,50,2,2
112053.tex,7,死化奇美拉讨伐战,复苏的上古武器,黑衣森林北部林区（X30，Y20）,盖罗尔特,id=7&x=30&y=20,52,50,2,2
112055.tex,8,海德拉讨伐战,完成死化奇美拉讨伐战-复苏的上古武器（吉光）,黑衣森林北部林区（X30，Y20）,盖罗尔特,id=7&x=30&y=20,52,50,2,2
112054.tex,9,大桥上的决斗,调查员连续任务-神秘的调查员,乌尔达哈现世回廊（X9，Y8）,维蒙德,id=13&x=9&y=8,50,50,2,2
112075.tex,10,艾玛吉娜杯斗技大会决赛,调查员连续任务/通关副本「大桥上的决斗」,,,,80,50,2,2
112080.tex,11,无限城的死斗,调查员连续任务/通关副本「艾玛吉娜杯斗技大会决赛」开放后续,,,,90,50,2,2
112021.tex,12,伊弗利特歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）,敏菲利亚,id=80&x=6.9&y=6.1,49,50,2,2
112023.tex,13,迦楼罗歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）,敏菲利亚,id=80&x=6.9&y=6.1,52,50,2,2
112022.tex,14,泰坦歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）,敏菲利亚,id=80&x=6.9&y=6.1,57,50,2,2
112031.tex,15,莫古力贤王歼灭战,主线,,,,54,50,2,2
112051.tex,16,利维亚桑歼灭战,主线,,,,60,50,2,2
112062.tex,17,拉姆歼灭战,主线,,,,65,50,2,2
112073.tex,18,希瓦歼灭战,主线,,,,80,50,2,2
112065.tex,19,奥丁歼灭战,绝命斗神,格里达尼亚新街（X9.9，Y11.4）,斯卡利特,id=2&x=9.9&y=11.4,95,50,2,2
112032.tex,20,究极神兵假想作战,英雄叙事诗幻想之章,摩杜纳（X21.7，Y8.6）,阿莉丝,id=25&x=21.7&y=8.6,61,50,2,2
112030.tex,21,迦楼罗歼殛战,登峰造极的风神迦楼罗,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,65,50,2,2
112029.tex,22,泰坦歼殛战,登峰造极的土神泰坦,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,67,50,2,2
112028.tex,23,伊弗利特歼殛战,登峰造极的火神伊弗利特,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,70,50,2,2
112052.tex,24,利维亚桑歼殛战,登峰造极的水神利维亚桑,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,80,50,2,2
112050.tex,25,莫古力贤王歼殛战,登峰造极的贤王莫古尔·莫古十二世,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,80,50,2,2
112063.tex,26,拉姆歼殛战,登峰造极的雷神拉姆,格里达尼亚新街（X9.9，Y11.4）,斯卡利特,id=2&x=9.9&y=11.4,85,50,2,2
112074.tex,27,希瓦歼殛战,登峰造极的冰神希瓦,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,95,50,2,2
112033.tex,1,水晶塔 古代人迷宫,古代亚拉戈文明的遗产,摩杜纳（X21.8，Y8.1）,异国装扮的男人,id=25&x=21.8&y=8.1,50,50,2,3
112061.tex,2,水晶塔 希尔科斯塔,希尔科斯塔,摩杜纳（X30.4，Y12.1）,拉姆布鲁斯,id=25&x=30.4&y=12.1,70,50,2,3
112079.tex,3,水晶塔 暗之世界,暗之世界,摩杜纳（X30.4，Y12.1）,拉姆布鲁斯,id=25&x=30.4&y=12.1,90,50,2,3
112043.tex,4,巴哈姆特大迷宫 邂逅之章,蛮神苏醒,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,70,50,2,3
112038.tex,5,巴哈姆特大迷宫 入侵之章,前置任务第七灵灾的真相/向深渊再次启程,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,90,50,2,3
112069.tex,6,巴哈姆特大迷宫 真源之章,通关侵攻4/真相的碎片,沙之家（X6.0，Y4.9）,于里昂热,id=80&x=6.0&y=4.9,110,50,2,3
112087.tex,1,冰雪废堡 暮卫塔,主线,,,,无,51,3,1
112088.tex,2,天山绝顶 索姆阿尔灵峰,主线,,,,无,53,3,1
112089.tex,3,邪龙王座 龙巢神殿,主线,,,,无,55,3,1
112090.tex,4,圣教中枢 伊修加德教皇厅,主线,,,,无,57,3,1
112091.tex,5,学识宝库 迦巴勒幻想图书馆,主线,,,,无,59,3,1
112092.tex,6,血战苍穹 魔科学研究所,主线,,,,142,60,3,1
112093.tex,7,空中神域 不获岛,空中神域不获岛,阿巴拉提亚云海（X11.7，Y14.9）,萨努瓦努,id=215&x=11.7&y=14.9,145,60,3,1
112094.tex,8,博物战舰 无限回廊,博物战舰无限回廊,伊修加德砥柱层（X14.6，Y12.2）,诺特雷尚,id=219&x=14.6&y=12.2,145,60,3,1
112116.tex,9,草木庭园 圣茉夏娜植物园,草木庭园圣茉夏娜植物园,龙堡内陆低地（X12.3，Y19.6）,疲惫的寻宝猎人,id=213&x=12.3&y=19.6,170,60,3,1
112117.tex,10,地脉灵灯 天狼星灯塔,地脉灵灯天狼星灯塔,利姆萨·罗敏萨上层甲板（X12.7，Y12.8）,特拉哈雷特,id=11&x=12.7&y=12.8,170,60,3,1
112125.tex,11,星海空间 颠倒塔,主线,,,,180,60,3,1
112124.tex,12,神圣遗迹 无限城市街古迹,神圣遗迹无限城市街古迹,格里达尼亚旧街（X6.0，Y10.6）,艾·斯密·雅恩,id=3&x=6.0&y=10.6,180,60,3,1
112163.tex,13,天龙宫殿 忆罪宫,主线,,,,200,60,3,1
112164.tex,14,黑涡传说 破舰岛,惊涛骇浪破舰岛,利姆萨·罗敏萨上层甲板（X11.0，Y10.4）,登斯顿,id=11&x=11.0&y=10.4,200,60,3,1
112186.tex,15,险峻峡谷 塞尔法特尔溪谷,主线,,,,210,60,3,1
112187.tex,16,秘本宝库 迦巴勒幻想图书馆,秘本宝库迦巴勒幻想图书馆,田园郡（X5.5，Y6.6）,米德奈特·迪尤,id=257&x=5.5&y=6.6,210,60,3,1
112214.tex,17,坚牢铁壁 巴埃萨长城,主线,,,,230,60,3,1
112215.tex,18,天山深境 索姆阿尔灵峰,天山深境索姆阿尔灵峰,田园郡（X4.6，Y8.4）,轻悠悠的莫古力,id=257&x=4.6&y=8.4,230,60,3,1
112103.tex,1,罗波那歼灭战,主线,,,,无,53,3,2
112104.tex,2,俾斯麦歼灭战,主线,,,,无,57,3,2
112106.tex,3,圆桌骑士歼灭战,主线,,,,142,60,3,2
112126.tex,4,萨菲洛特歼灭战,生命之树,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,190,60,3,2
112160.tex,5,尼德霍格征龙战,主线,,,,205,60,3,2
112201.tex,6,索菲娅歼灭战,黄金色的灾厄,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,220,60,3,2
112212.tex,7,祖尔宛歼灭战,新的同伴,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,235,60,3,2
112105.tex,8,俾斯麦歼殛战,上古之神,伊修加德砥柱层（X:11.8，Y:11.6）,托尔斯费尔,id=219&x=11.7&y=11.6,165,60,3,2
112107.tex,9,罗波那歼殛战,登峰造极的武神罗波那,石之家（X6.1，Y5.2）,蛇心,id=136&x=X6.1&y=5.2,175,60,3,2
112122.tex,10,圆桌骑士幻想歼灭战,英雄叙事诗苍穹之章,摩杜纳（X21.7，Y8.6）,阿莉丝,id=25&x=21.7&y=8.6,190,60,3,2
112185.tex,11,死者宫殿,奇异地宫,格里达尼亚新街（X12.0，Y13.1）,诺基洛·玛露基洛,id=2&x=12.0&y=13.1,无,17,3,2
112161.tex,12,尼德霍格传奇征龙战,英雄叙事诗云廊之章,摩杜纳（X21.7，Y8.6）,阿莉丝,id=25&x=21.7&y=8.6,220,60,3,2
112127.tex,13,萨菲洛特歼殛战,登峰造极的魔神萨菲洛特,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,205,60,3,2
112202.tex,14,索菲娅歼殛战,登峰造极的女神索菲娅,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,235,60,3,2
112213.tex,15,祖尔宛歼殛战,登峰造极的鬼神祖尔宛,石之家（X6.1，Y5.2）,蛇心,id=136&x=6.1&y=5.2,250,60,3,2
112118.tex,1,魔航船 虚无方舟,空贼登场,伊修加德砥柱层（X14.1，Y10.6）,神色不安的商人,id=219&x=14.1&y=10.6,175,60,3,3
112162.tex,2,禁忌城邦 玛哈,禁忌城邦玛哈,阿巴拉提亚云海（X6.2，Y5.8）,斯塔西娅,id=215&x=6.2&y=5.8,205,60,3,3
112203.tex,3,影之国,影之国,阿巴拉提亚云海（X6.2，Y5.8）,斯塔西娅,id=215&x=6.2&y=5.8,235,60,3,3
112095.tex,4,亚历山大机神城 启动之章,迈向毁灭,田园郡（X7.5，Y6.5）,斯洛菲克斯,id=257&x=7.5&y=6.5,170,60,3,3
112128.tex,5,亚历山大机神城 律动之章,小小世界的大事件,龙堡内陆低地（X21.7，Y18.8）,朗德洛克斯,id=213&x=21.7&y=18.8,200,60,3,3
112188.tex,6,亚历山大机神城 天动之章,加速的危机,龙堡内陆低地（X21.7，Y18.8）,米黛,id=213&x=21.7&y=18.8,230,60,3,3
112099.tex,7,亚历山大零式机神城 启动之章,英雄叙事诗机神城之章,摩杜纳（X21.7，Y8.7）,异国的诗人,id=25&x=21.7&y=8.7,190,60,3,3
112132.tex,8,亚历山大零式机神城 律动之章,英雄叙事诗机神城之章,摩杜纳（X21.7，Y8.7）,异国的诗人,id=25&x=21.7&y=8.7,215,60,3,3
112192.tex,9,亚历山大零式机神城 天动之章,英雄叙事诗机神城之章,摩杜纳（X21.7，Y8.7）,异国的诗人,id=25&x=21.7&y=8.7,245,60,3,3
112226.tex,1,漂流海域 妖歌海,主线,,,,无,61,4,1
112227.tex,2,海底宫殿 紫水宫,主线,,,,无,63,4,1
112228.tex,3,试炼行路 巴儿达木霸道,主线,,,,无,65,4,1
112229.tex,4,解放决战 多玛王城,主线,,,,无,67,4,1
112230.tex,5,巨炮要塞 帝国白山堡,主线,,,,无,69,4,1
112231.tex,6,鏖战红莲 阿拉米格,主线,,,,280,70,4,1
112232.tex,7,恶党孤城 黄金阁,恶党孤城黄金阁,黄金港（X13.9，Y13.3）,东阿尔迪纳德商会伙计,id=370&x=13.9&y=13.3,280,70,4,1
112233.tex,8,修行古刹 星导寺,修行古刹星导寺,神拳痕（X12.9，Y12.8）,奥特维恩,id=366&x=12.9&y=12.8,280,70,4,1
112255.tex,9,沉没神殿 斯卡拉遗迹,主线,,,,300,70,4,1
112264.tex,10,红玉火山 狱之盖,主线,,,,310,70,4,1
112264.tex,11,疯狂战舰 无限回廊,战舰中的疯狂真相,"神拳痕（X:13.2,Y:12.2）",菲利奥特,id=366&x=13.2&y=12.2,310,70,4,1
112283.tex,12,风水灵庙 岩燕庙,主线,,,,330,70,4,1
112310.tex,13,污染庭园 圣茉夏娜植物园,污染庭园圣茉夏娜植物园,"神拳痕（X:11.8,Y:12.0）",梭尼,id=366&x=11.8&y=12.0,340,70,4,1
112311.tex,14,死亡大地 终末焦土,主线,,,,340,70,4,1
112333.tex,15,国境战线 基姆利特暗区,主线,,,,360,70,4,1
112244.tex,1,神龙歼灭战,主线,,,,280,70,4,2
112242.tex,2,须佐之男歼灭战,主线,,,,无,63,4,2
112245.tex,3,须佐之男歼殛战,完成主线「4之狂潮」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,300,70,4,2
112243.tex,4,吉祥天女歼灭战,主线,,,,无,67,4,2
112246.tex,5,吉祥天女歼殛战,完成主线「4之狂潮」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,300,70,4,2
112258.tex,6,神龙梦幻歼灭战,完成「神龙歼灭战」后，对话开启,,,,320,70,4,2
112273.tex,7,白虎镇魂战,四圣兽传说,红玉海（X:5.7Y:15.8）,算盘,id=371&x=5.7&y=15.8,325,70,4,2
112274.tex,8,白虎诗魂战,完成「白虎镇魂战」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,340,70,4,2
112289.tex,9,火龙狩猎战,王在顶点沉睡,黄金港（X:9.7Y:8.9）,对手怪物猎人,id=370&x=9.7&y=8.9,320,70,4,2
112290.tex,10,火龙上位狩猎战,其为赤空王者,黄金港（X:9.7Y:8.9）,对手怪物猎人,id=370&x=9.7&y=8.9,350,70,4,2
112291.tex,11,月读歼灭战,主线,,,,335,70,4,2
112292.tex,12,月读幽夜歼灭战,完成「月读歼灭战」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,350,70,4,2
112321.tex,13,朱雀镇魂战,朱色慕情,,,,355,70,4,2
112322.tex,14,朱雀诗魂战,完成「朱雀镇魂战」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,370,70,4,2
112320.tex,15,保镖歼灭战,不为人知的证物,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,365,70,4,2
112339.tex,16,青龙镇魂战,群青的誓言,红玉海（X:27.8Y:16.4）,文镇,id=371&x=27.8&y=16.4,365,70,4,2
112340.tex,17,青龙诗魂战,完成「青龙镇魂战」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,380,70,4,2
112256.tex,1,失落之都 拉巴纳斯塔,被通缉的剧团,"黄金港（X:12.2,Y:12.3）",庆典,id=370&x=12.2&y=12.3,305,70,4,3
112286.tex,2,封闭圣塔 黎铎拉纳大灯塔,演员之梦<br/>通关「失落之都 拉巴纳斯塔」开启,黄金港（X:10.3Y:12.0）,莉娜·缪里拉,id=370&x=10.3&y=12.0,335,70,4,3
112334.tex,3,乐欲之所 瓯博讷修道院,达尔马斯卡的抵抗组织<br/>通关「封闭圣塔 黎铎拉纳大灯塔」开启,黄金港（X:10.3Y:12.0）,莉娜·缪里拉,id=370&x=10.3&y=12.0,365,70,4,3
112261.tex,4,【绝】巴哈姆特绝境战,完成「欧米茄零式时空狭缝 德尔塔幻境4」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,345,70,4,3
112296.tex,5,【绝】究极神兵绝境战,完成「欧米茄零式时空狭缝 西格玛幻境4」后，对话开启,黄金港（X11，Y12）,异国的诗人,id=370&x=11&y=12,375,70,4,3
112234.tex,4,欧米茄时空狭缝 德尔塔幻境,欧米茄的消息,神拳痕（X12.6，Y12.4）,魏吉,id=366&x=12.6&y=12.4,295,70,4,3
112238.tex,5,欧米茄零式时空狭缝 德尔塔幻境,完成「异常的真相」,神拳痕（X13.5，Y12.4）,魔导终端,id=366&x=13.5&y=12.4,310,70,4,3
112265.tex,6,欧米茄时空狭缝 西格玛幻境,再临时空狭缝<br/>完成「异常的真相」,神拳痕（X13.4，Y12.4）,杰西,id=366&x=13.4&y=12.4,325,70,4,3
112266.tex,7,欧米茄零式时空狭缝 西格玛幻境,完成「再临时空狭缝」,神拳痕（X13.5，Y12.4）,魔导终端,id=366&x=13.5&y=12.4,340,70,4,3
112312.tex,8,欧米茄时空狭缝 阿尔法幻境,开始如期而至<br/>完成「破坏的妖星」,神拳痕（X13.4，Y12.4）,杰西,id=366&x=13.4&y=12.4,355,70,4,3
112316.tex,9,欧米茄零式时空狭缝 阿尔法幻境,完成「开始如期而至」,神拳痕（X13.5，Y12.4）,魔导终端,id=366&x=13.5&y=12.4,370,70,4,3
112342.tex,1,遇袭集落 水滩村,主线,,,,无,71,5,1
112343.tex,2,水妖幻园 多恩美格禁园,主线,,,,无,73,5,1
112344.tex,3,文明古迹 奇坦那神影洞,主线,,,,无,75,5,1
112345.tex,4,避暑离宫 马利卡大井,主线,,,,无,77,5,1
112346.tex,5,伪造天界 格鲁格火山,主线,,,,无,79,5,1
112347.tex,6,末日暗影 亚马乌罗提,主线,,,,410,80,5,1
112348.tex,7,异界遗构 希尔科斯孪晶塔,完成主线「漆黑之逆焰」,水晶都（X:8.5 Y:10.9）,贝楠,id=497&x=8.5&y=10.9,410,80,5,1
112349.tex,8,创造机构 阿尼德罗学院,完成主线「漆黑之逆焰」,游末邦：树根层（X:12.9 Y:12.3）,发愁的鳍人族,id=498&x=12.9&y=12.3,410,80,5,1
112373.tex,9,魔法宫殿 宇宙宫,主线,,,,430,80,5,1
112378.tex,10,黑风海底 阿尼德罗追忆馆,主线,,,,440,80,5,1
112399.tex,11,暗影决战 诺弗兰特,主线,,,,460,80,5,1
112358.tex,1,缇坦妮雅歼灭战,主线,,,,无,73,5,2
112359.tex,2,缇坦妮雅歼殛战,完成主线「漆黑之逆焰」后，对话开放,水晶都 ( X:7.5 Y:12.5 ),异国的诗人,id=497&x=7.5&y=12.5,430,80,5,2
112360.tex,3,无瑕灵君歼灭战,主线,,,,无,79,5,2
112361.tex,4,无瑕灵君歼殛战,完成主线「漆黑之逆焰」后，对话开放,水晶都 ( X:7.5 Y:12.5 ),异国的诗人,id=497&x=7.5&y=12.5,430,80,5,2
112362.tex,5,哈迪斯歼灭战,主线,,,,410,80,5,2
112372.tex,6,哈迪斯孤念歼灭战,完成主线「漆黑之逆焰」后，对话开放,水晶都 ( X:9.7 Y:12.3 ),异国的诗人,id=497&x=9.7&y=12.3,450,80,5,2
112379.tex,7,红宝石神兵破坏作战,神兵来袭,基拉巴尼亚湖区(X:36.4 Y:31.8),解放军军官,id=369&x=36.4&y=31.8,455,80,5,2
112380.tex,8,红宝石神兵狂想作战,完成支线「神兵来袭」后，对话开放,基拉巴尼亚湖区(X:11.5 Y:22.5),加隆德炼铁厂模型师,id=369&x=11.5&y=22.5,470,80,5,2
112381.tex,9,博兹雅堡垒追忆战,完成支线任务「博兹雅堡垒蒸发事件」后对话开放,神拳痕（X11.8，Y11.8）,加隆德炼铁厂业务员,id=366&x=11.8&y=11.8,470,80,5,2
112402.tex,10,光之战士歼灭战,主线,,,,465,80,5,2
112403.tex,11,光之战士幻耀歼灭战,完成主线「漆黑之逆焰」后，对话开放,水晶都 ( X:7.5 Y:12.5 ),异国的诗人,id=497&x=7.5&y=12.5,480,80,5,2
112404.tex,12,希瓦幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放,田园郡（X7.0，Y5.9）,从伊修加德来的男性,id=257&x=7.0&y=5.9,430,80,5,2
112350.tex,1,伊甸希望乐园 觉醒之章1,完成支线「起始的“乐园”」后，对话开放,水晶都 ( X:7.5 Y:12.5 ),认真的卫兵,id=497&x=7.5&y=12.5,425,80,5,3
112351.tex,2,伊甸零式希望乐园 觉醒之章1,完成支线「琳的旅程」后，对话开放,安穆·艾兰（X:26.8 Y:16.4）,卢利,id=493&x=26.8&y=16.4,440,80,5,3
112352.tex,3,伊甸希望乐园 觉醒之章2,,,,,425,80,5,3
112353.tex,4,伊甸零式希望乐园 觉醒之章2,,,,,445,80,5,3
112354.tex,5,伊甸希望乐园 觉醒之章3,,,,,425,80,5,3
112355.tex,6,伊甸零式希望乐园 觉醒之章3,,,,,450,80,5,3
112356.tex,7,伊甸希望乐园 觉醒之章4,,,,,425,80,5,3
112357.tex,8,伊甸零式希望乐园 觉醒之章4,,,,,450,80,5,3
112385.tex,9,伊甸希望乐园 共鸣之章1,完成支线「琳的旅程」后，对话开放,安穆·艾兰（X:26.7 Y:16.7）,雅尔福特,id=493&x=26.7&y=16.7,455,80,5,3
112386.tex,10,伊甸零式希望乐园 共鸣之章1,完成支线「脑中回响的声音」后，对话开放,安穆·艾兰（X:26.7 Y:16.7）,雅尔福特,id=493&x=26.7&y=16.7,470,80,5,3
112387.tex,11,伊甸希望乐园 共鸣之章2,,,,,455,80,5,3
112388.tex,12,伊甸零式希望乐园 共鸣之章2,,,,,475,80,5,3
112389.tex,13,伊甸希望乐园 共鸣之章3,,,,,455,80,5,3
112390.tex,14,伊甸零式希望乐园 共鸣之章3,,,,,480,80,5,3
112391.tex,15,伊甸希望乐园 共鸣之章4,,,,,455,80,5,3
112392.tex,16,伊甸零式希望乐园 共鸣之章4,,,,,480,80,5,3
112374.tex,25,【绝】亚历山大绝境战,完成「伊甸零式希望乐园 觉醒之章4」后，对话开启,水晶都 ( X:7.5 Y:12.5 ),异国的诗人,id=497&x=7.5&y=12.5,475,80,5,3
112375.tex,26,复制工厂废墟,完成支线「古姆拉村的传闻」后，对话开放,珂露西亚岛(X:12.9 Y8.7),喜欢传闻的矮人族,id=492&x=12.9&y=8.7,435,80,5,3
112400.tex,27,人偶军事基地,完成支线「阿诺古急进的计划」后，对话开放,珂露西亚岛(X:34.7 Y:18.2),矮人族老爹,id=492&x=34.7&y=18.2,465,80,5,3
112406.tex,12,魔术工房 玛托雅工作室,主线,,,,470,80,5,1
112407.tex,17,伊甸希望乐园 再生之章1,完成支线「待某日花儿盛开时」,安穆·艾兰 (X:26.7 Y:16.7),雅尔福特,id=493&x=26.7&y=16.7,485,80,5,3
112408.tex,18,伊甸零式希望乐园 再生之章1,完成支线「待一切尘埃落定之后」,安穆·艾兰 (X:26.7 Y:16.7),雅尔福特,id=493&x=26.7&y=16.7,500,80,5,3
112409.tex,19,伊甸希望乐园 再生之章2,,,,,485,80,5,3
112410.tex,20,伊甸零式希望乐园 再生之章2,,,,,505,80,5,3
112411.tex,21,伊甸希望乐园 再生之章3,,,,,485,80,5,3
112412.tex,22,伊甸零式希望乐园 再生之章3,,,,,510,80,5,3
112413.tex,23,伊甸希望乐园 再生之章4,,,,,485,80,5,3
112414.tex,24,伊甸零式希望乐园 再生之章4,,,,,510,80,5,3
112419.tex,13,泰坦幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,田园郡（X7.0，Y5.9）,从伊修加德来的男性,id=257&x=7.0&y=5.9,430,80,5,2
112420.tex,14,绿宝石神兵破坏作战,完成支线「飞翔吧，前往维尔利特！」,基拉巴尼亚湖区(X:11.3 Y:22.5),解放军军官,id=369&x=11.3&y=22.5,485,80,5,2
112421.tex,15,绿宝石神兵狂想作战,成功攻略「绿宝石神兵破坏作战」后,基拉巴尼亚湖区(X:11.3 Y:22.5),加隆德炼铁厂模型师,id=369&x=11.3&y=22.5,500,80,5,2
112433.tex,16,利维亚桑幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,田园郡（X7.0，Y5.9）,从伊修加德来的男性,id=257&x=7.0&y=5.9,430,80,5,2
112428.tex,13,黄金平原 帕戈尔赞草原,主线,,,,490,80,5,1
112431.tex,28,希望之炮台：“塔”,完成支线「古姆拉村的伤痕」后，对话开放,珂露西亚岛(X:34.7 Y:18.2),矮人族老爹,id=492&x=34.7&y=18.2,495,80,5,3
112429.tex,17,钻石神兵捕获作战,完成支线「第一个朋友」,基拉巴尼亚湖区(X:11.3 Y:22.5),解放军军官,id=369&x=11.3&y=22.5,495,80,5,2
