版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.4,用森都风格马克杯喝,森都風マグカップで飲む,通常,2025年星芒节奖励,/gridaniansip,246443,<me>在<t>面前用森都风格马克杯饮用了潘趣软饮。,<me>用森都风格马克杯饮用了潘趣软饮。,1
7.2,认真看书,本を熟読する,特别,自动获得,/study,246442,<me>在<t>面前认真地看起了书。,<me>认真地看起了书。,0
7.2,玩神典石,トームストーンを愛で続ける,特别,自动获得,/tomescroll,246441,<me>在<t>面前玩起了神典石。,<me>玩起了神典石。,0
7.2,气得发抖,怒りに震える,特别,"宇宙探索-宇宙信用点x9600 兑换",/rage,246440,<me>在<t>面前气愤到浑身颤抖。,<me>气愤到浑身颤抖。,0
7.2,晕头转向,ふらつく,特别,PVP第八季通行证5级奖励（截止至7.3前）,/dazed,246439,<me>在<t>面前不禁有些晕头转向。,<me>有些晕头转向。,0
7.25,转圈,くるっと回る,通常,新月岛探索宝箱掉落,/twirl,246438,<me>在<t>面前转了个圈。,<me>转了个圈。,0
7.2,大惊小怪,大げさに驚く,通常,2025年秋金碟季节活动报酬,/overreact,246437,<me>在<t>面前显得有些大惊小怪。,<me>开始大惊小怪起来。,0
7.18,拍照,撮影する,通常,联动，自动获得,/photograph,246436,<me>为<t>拍了张照片。,<me>拍了张照片。,0
7.2,用触控板记录,タブレットで記録する,通常,"宇宙探索-宇宙好运爆 奖品",/visage,246435,<me>在<t>面前使用触控板记录了自己的模样。,<me>使用触控板记录了自己的模样。,0
7.1,噢霍卡利,オフォカリー,通常,完成7.1的友好部族：佩鲁佩鲁族「新事业！图拉尔旅行公司」任务后获得,/ohokaliy,246434,<me>向<t>高呼噢霍卡利！,<me>高呼噢霍卡利！,0,UPDATED
7.3,吹泡泡,シャボン玉,通常,官网道具商城购买,/blowbubbles,246433,<me>对着<t>吹起了泡泡。,<me>吹起了泡泡。,0
7.4,赠送花束,花束を贈る,特别,2026年恋人节奖励,/bouquet,246432,<me>给<t>送上花束。,<me>送上花束。,1,UPDATED
7.16,象征自由的姿势,自由のポーズ,通常,完成7.0系列的全部职能任务,/poseoftheunbound,246431,<me>在<t>面前摆出了象征自由的姿势。,<me>摆出了象征自由的姿势。,0
7.1,调饮,シェイカーを振る,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>50,000金碟币",/shakedrink,246430,<me>开始在<t>面前摇晃摇壶。,<me>开始摇晃摇壶。,0
7.1,浇水,水をまく,特别,成就币交换,/water,246429,<me>开始给<t>浇水。,<me>开始浇水。,0
7.1,待命,指示を待つ,特别,PVP第七季通行证5级奖励（截止至7.2前）,/attend,246428,<me>开始等待<t>的指示。,<me>开始等待指示。,0
7.0,扇大团扇,大うちわで扇ぐ,通常,2025年红莲节奖励,/uchiwasshoi,246427,<me>对着<t>用大团扇扇风。,<me>用大团扇扇风。,0
6.58,煎蛋,目玉焼きを作る,通常,2024年官方运营活动获得,/fryegg,246426,<me>为<t>烹饪了一份简单美味的煎蛋。,<me>烹饪了一份简单美味的煎蛋。,0,UPDATED
6.51,大获全胜,ビーンズ?ビクトリー,通常,糖豆人联动,/victoryreveal,246425,<me>在<t>面前庆祝了胜利。,<me>庆祝了胜利。,0
6.51,得意洋洋,自慢げなポーズ,通常,"「阿罗阿罗金币」x9 兑换",/humbletriumph,246424,<me>在<t>面前得意洋洋地摆出了骄傲的姿势。,<me>得意洋洋地摆出了骄傲的姿势。,0
7.0,比心,ハートポーズ,特别,2025年恋人节奖励,/loveheart,246423,<me>通过比心向<t>传达爱意。,<me>通过比心传达爱意。,0
6.5,垂头丧气,うなだれる,特别,PVP第五季通行证5级奖励（截止至7.0前）,/slump,246422,<me>在<t>的面前垂头丧气，提不起一点精神。,<me>垂头丧气，提不起一点精神。,0
6.58,众生离绝,エクソダス,特别,实体特典,/sundering,246421,<me>向<t>发动了“众生离绝”，没有造成伤害。,<me>跃向高空，发动众生离绝。,0
7.0,吃炸鸡,フライドチキンを食べる,通常,2025年官方运营活动获得,/eatchicken,246420,<me>在<t>的面前愉快地吃起了炸鸡。,<me>愉快地吃起了炸鸡。,2
6.45,比对文献,文献と見比べる,通常,"「六根山遗物」x9 兑换",/reference,246419,<me>在<t>面前比对了文献。,<me>比对了文献。,0
6.55,兔兔舞,レポリットダンス,特别,完成6.55的「友好部族联合任务」后获得,/lophop,246418,<me>在<t>面前跳起了兔兔舞。,<me>跳起了兔兔舞。,0
6.45,守护天节的魔咒,守護天節のおまじない,通常,2024年万圣节活动任务奖励,/allsaintscharm,246417,<me>对<t>施展了守护天节的魔咒。,<me>施展了守护天节的魔咒。,0
6.4,蹦跳声援小绿,声援：緑,特别,官网道具商城购买,/cheerjumpgreen,246416,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
6.4,挥舞声援小紫,声援：紫,特别,官网道具商城购买,/cheerwaveviolet,246415,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
6.4,前后声援小白,声援：白,特别,官网道具商城购买,/cheeronbright,246414,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
6.4,手抚胸,胸に手をあてる,通常,PVP第四季通行证5级奖励（截止至6.5前）,/handtoheart,246413,<me>面向<t>以手抚胸。,<me>以手抚胸。,0
6.4,雀跃5,ハッピージャンプ5,通常,官网道具商城购买,/jumpforjoy5,246412,<me>在<t>面前开心地跳了起来，动作好像仙人刺。,<me>开心地跳了起来，动作好像仙人刺。,0
6.4,雀跃4,ハッピージャンプ4,通常,官网道具商城购买,/jumpforjoy4,246411,<me>在<t>面前开心地跳了起来，动作格外舒展。,<me>开心地跳了起来，动作格外舒展。,0
6.4,雀跃3,ハッピージャンプ3,通常,官网道具商城购买,/jumpforjoy3,246410,<me>在<t>面前开心地跳了起来，跳得格外的高。,<me>开心地跳了起来，跳得格外的高。,0
6.4,雀跃2,ハッピージャンプ2,通常,官网道具商城购买,/jumpforjoy2,246409,<me>在<t>面前开心地跳了起来，动作格外欢乐。,<me>开心地跳了起来，动作格外欢乐。,0
6.4,雀跃1,ハッピージャンプ1,通常,官网道具商城购买,/jumpforjoy1,246408,<me>在<t>面前开心地跳了起来，动作格外可爱。,<me>开心地跳了起来，动作格外可爱。,0
6.4,威光降临,猛き光の降臨,通常,官网道具商城购买,/adventoflight,246407,<me>像光之战士一样英勇降临于<t>面前。,<me>像光之战士一样英勇降临。,0,UPDATED
6.4,吓唬人,驚かす,通常,2024年彩蛋节奖励,/frighten,246406,<me>张牙舞爪地吓唬起了<t>。,<me>做出了吓唬人的表情。,0
6.35,摇兔兔耳,おみみピコピコ,通常,兔兔族友好度到达-血誓后<br/>在该蛮族商店用8枚兔兔人参币兑换,/earwiggle,246405,<me>对<t>摇了摇兔兔耳。,<me>摇了摇兔兔耳。,0
6.3,通讯珠,リンクパール通信,通常,PVP第三季通行证5级奖励（截止至6.4前）,/linkpearl,246404,<me>向<t>展示了通讯珠的用法。,<me>展示了通讯珠的用法。,0
6.5,公主之舞,姫の舞踊,通常,2024年女儿节奖励,/littleladiesdance,246403,<me>在<t>面前跳了公主之舞。,<me>跳了公主之舞。,0
6.3,魔术,手品,通常,官网道具商城购买,/magictrick,246402,<me>向<t>表演了魔术。,<me>表演了魔术。,0,UPDATED
6.2,观战,観戦する,特别,PVP第二季通行证5级奖励（截止至6.3前）,/spirit,246401,<me>开始在<t>面前手舞足蹈地观战。,<me>开始手舞足蹈地观战。,0
6.25,两眼放光,目を輝かせる,通常,"旧萨雷安(X:12.0 Y:13.3)特里萨桑<br />「希拉狄哈遗物」x9兑换",/wow,246400,<me>两眼放光地看向<t>，眼中充满了兴奋与期待。,<me>两眼放光，眼中充满了兴奋与期待。,0
6.2,叛逆精神,反骨精神を示す,通常,官网道具商城购买,/deride,246399,<me>对<t>做了一个鬼脸。,<me>做了一个鬼脸。,0
6.1,亮出武器,武器を構える,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",/draw,246398,<me>对<t>亮出了武器。,<me>亮出了武器。,0
6.1,收回武器,武器を収める,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",/sheathe,246397,<me>在<t>的面前收回了武器。,<me>收回了武器。,0
6.3,展现左侧,見せつける：左,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/showleft,246396,<me>向大家展现<t>的魅力。,<me>向大家展现身边事物的魅力。,0
6.3,展现右侧,見せつける：右,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/showright,246395,<me>向大家展现<t>的魅力。,<me>向大家展现身边事物的魅力。,0
6.1,干劲十足,意気込む,通常,PVP第一季通行证5级奖励,/determined,246394,<me>对<t>表示自己干劲十足。,<me>干劲十足。,0
6.15,饮用红茶,紅茶を飲む,通常,官网道具商城购买,/tea,246393,<me>在<t>面前优雅地喝起了红茶。,<me>优雅地喝起了红茶。,0
6.3,吃水煮蛋,ゆで卵を食べる,通常,2023年彩蛋节季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eategg,246392,<me>在<t>面前愉快地吃起了水煮蛋。,<me>愉快地吃起了水煮蛋。,0
7.4,抱头,,通常,,/clutchhead,246391,<me>为<t>伤透了脑筋。,<me>伤透了脑筋。,1,NEW
6.4,吃恋人巧克力,ヴァレンティオンチョコを食べる,通常,2024年恋人节奖励,/eatchocolate,246390,<me>开始在<t>面前品尝恋人巧克力，仿佛有种人生赢家的味道。,<me>开始品尝恋人巧克力，仿佛有种恋爱的味道。,0
6.2,吃南瓜曲奇,パンプキンクッキーを食べる,通常,2023年守护天节季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eatpumpkincookie,246389,<me>在<t>面前有滋有味地吃起了南瓜曲奇。,<me>有滋有味地吃起了南瓜曲奇。,0
5.58,吃披萨,ピザを食べる,通常,国际服美版账号线下联动，国服未知,/eatpizza,246388,<me>在<t>的面前愉快地吃起了披萨。,<me>愉快地吃起了披萨。,0
5.55,嘘,静寂を促す,通常,5.55主线全部做完获得,/shush,246387,<me>提醒<t>保持安静。,<me>提醒周围保持安静。,0,UPDATED
5.5,困惑,困惑する,通常,2022年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/vexed,246386,<me>对<t>的言行举止感到困惑。,<me>感到困惑。,0
5.5,默剧,パントマイム,通常,官网道具商城购买,/pantomime,246385,<me>为<t>表演起了默剧。,<me>表演起了默剧。,0
5.4,蓝色陆行鸟之笔,チョコボの筆：青,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblue,246384,<me>当着<t>的面将脚下涂成了一片碧蓝。,<me>将自己的脚下涂成了一片碧蓝。,0
5.4,黄色陆行鸟之笔,チョコボの筆：黄,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintyellow,246383,<me>当着<t>的面将脚下涂成了一片奶黄。,<me>将自己的脚下涂成了一片奶黄。,0
5.4,红色陆行鸟之笔,チョコボの筆：赤,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintred,246382,<me>当着<t>的面将脚下涂成了一片粉红。,<me>将自己的脚下涂成了一片粉红。,0
5.4,黑色陆行鸟之笔,チョコボの筆：黒,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblack,246381,<me>当着<t>的面将脚下涂成了一片漆黑。,<me>将自己的脚下涂成了一片漆黑。,0
5.41,扫地,ホウキで掃く,特别,"重建伊修加德 天穹街振兴票x1800",/sweep,246380,<me>开始为<t>清扫地面。,<me>开始扫地。,0,UPDATED
5.55,搓手,もみ手をする,特别,"「扎杜诺尔高原」<br/> 「高原上锁的宝箱」一定几率掉落",/wringhands,246379,<me>在<t>面前搓起了手。,<me>搓起了手。,0,UPDATED
5.41,吃苹果,リンゴを食べる,通常,重建伊修加德「库啵好运道」二等奖,/eatapple,246378,<me>在<t>面前悠闲地吃起了苹果。,<me>悠闲地吃起了苹果。,0
5.41,吃饭团,おにぎりを食べる,通常,"重建伊修加德 天穹街振兴票x1800",/eatriceball,246377,<me>在<t>面前大口地吃起了饭团。,<me>大口地吃起了饭团。,0
5.3,啦哩吼舞,ラリホップ,特别,矮人族族友好度到达-血誓后<br/>在该蛮族商店用8枚绿蛙币兑换,/lalihop,246376,<me>在<t>面前跳起了啦哩吼舞。,<me>跳起了啦哩吼舞。,0,UPDATED
5.3,蜜蜂之舞,ビーステップ,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/beesknees,246375,<me>在<t>面前跳起了蜜蜂之舞。,<me>跳起了蜜蜂之舞。,0,UPDATED
5.45,诅咒,呪う,特别,"南方博兹雅战线<br/>博兹雅晶簇x50 交换",/malevolence,246374,<me>诅咒了<t>。,<me>满脸恶意地诅咒着。,0,UPDATED
5.35,巡视,警備する,特别,"南方博兹雅战线<br/>博兹雅晶簇x50 交换",/guard,246373,<me>对<t>周围进行巡视。,<me>巡视四周。,0,UPDATED
5.31,击掌,ハイタッチ,通常,"重建伊修加德 天穹街振兴票x1800",/highfive,246372,<me>与<t>默契地击掌。,<me>做出了击掌的动作。,0
5.3,火焰之舞,フレイムダンス,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/flamedance,246371,<me>在<t>面前跳起了火焰之舞。,<me>跳起了火焰之舞。,0,UPDATED
5.4,花雨,フラワーシャワー,通常,官网道具商城购买,/flowershower,246370,<me>在<t>面前撒下了一片花雨。,<me>沐浴在花雨中。,0
5.3,嘿哟,わっしょい,特别,官网道具商城购买,/wasshoi,246369,<me>对着<t>嘿哟嘿哟鼓起劲来。,<me>嘿哟嘿哟鼓起劲来。,0,UPDATED
5.2,坚持主张,主張する,通常,"重建伊修加德 天穹街振兴票x1800",/insist,246368,<me>对<t>发表了自己的主张。,<me>发表了自己的主张。,0
5.3,疑问,疑問を抱く,通常,2021年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/consider,246367,<me>对<t>产生了疑问。,<me>心怀疑问。,0
5.2,看书,本を読む,通常,"重建伊修加德 天穹街振兴票x1800",/read,246366,<me>在<t>面前悠闲地看起了书。,<me>悠闲地看起了书。,0
5.2,吃面包,パンを食べる,通常,重建伊修加德「库啵好运道」,/breakfast,246365,<me>在<t>面前优雅地吃起了面包。,<me>优雅地吃起了面包。,0
5.2,打响指,フィンガースナップ,通常,官网道具商城购买,/snap,246364,<me>对<t>华丽地打了个响指。,<me>华丽地打了个响指。,0
5.11,背靠,斜め立ち,特别,"艾妮(天穹街X:12.0 Y:14.0）<br />天穹街振兴票x1800兑换",/lean,246363,,,0,UPDATED
5.15,头痛,頭痛,通常,"泪男子拉图迦(乌尔达哈来生回廊X:12.5 Y:13.0)<br />同盟徽章400兑换<br />需完成青魔法师60级职业任务「永别了，初代蓝色假面」后，开放兑换",/headache,246362,<me>对<t>感到头疼露出了苦相。,<me>因头痛而面露苦相。,0
5.1,干杯,乾杯する,通常,官网道具商城购买,/toast,246361,<me>向<t>举起杯子想要碰撞一下。,<me>高举杯子一饮而尽。,0
5.4,欧米茄F架势,オメガFの構え,特别,实体特典,/simulationf,246360,<me>对<t>做出了欧米茄F的架势。,<me>做出了欧米茄F的架势。,0,UPDATED
5.4,欧米茄M架势,オメガMの構え,特别,实体特典,/simulationm,246359,<me>对<t>做出了欧米茄M的架势。,<me>做出了欧米茄M的架势。,0,UPDATED
5.x,啦哩吼,ラリホー,通常,"系列支线任务「啦哩吼！！」奖励，需完成以下支线后才开放该任务<br />1.矮人族的不良青年（珂露西亚岛X:12.4 Y:9.2 Z:4.1）贝奥图※风脉任务<br />2.小弟的心得！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />3.打招呼的特训！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />",/laliho,246358,<me>向<t>道了声啦哩吼。,<me>啦哩吼了一下。,0
4.56,绅士舞步,事件屋のマンボ,特别,"事件屋外传 红莲篇<br/>「最强的男人不会停歇」任务报酬",/mandervillemambo,246357,<me>对<t>非常绅士地跳起了舞。,<me>跳起了绅士舞步。,0,UPDATED
4.5,优雅仙人刺,サボテンダーポーズ,通常,19年季节活动报酬，现不可获得<br/>可等次年道具商城购买,/sabotender,246356,<me>对<t>模仿起了仙人刺。,<me>优雅地模仿起了仙人刺。,0
4.5,提醒,注意する,特别,"狼印战绩15000<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人",/reprimand,246355,<me>提醒<t>注意。,<me>提醒起了周围的人。,0,UPDATED
4.55,振作精神,ガッツポーズ,通常,"「优雷卡 丰水之地」<br/> 「发生变异的结冰上锁宝箱」一定几率掉落",/fistpump,246354,<me>为<t>鼓劲。,<me>振作起了精神。,0
4.56,心意,心づけ,通常,"蛮族故事剧情任务 红莲篇<br/>「三种至宝」任务报酬",/gratuity,246353,<me>对<t>撒钱以示心意。,<me>撒了一把钱以示心意。,0
5.x,古菩步,グゥーブー?ドゥ,特别,官网道具商城购买,/goobbuedo,246352,<me>对<t>跳起了古菩步。,<me>跳起了古菩步。,0,UPDATED
5.x,趾踵步,ヒールトー,特别,官网道具商城购买,/heeltoe,246351,<me>对<t>跳起了趾踵步。,<me>跳起了趾踵步。,0,UPDATED
4.4,神典石,トームストーン,通常,APP预约奖励,/tomestone,246350,<me>开始在<t>面前欣赏神典石。,<me>开始欣赏神典石。,0,UPDATED
4.45,说明计划,企みを話す,特别,优雷卡：涌火之地<br/>【发生变异的爆炎上锁宝箱】一定几率开出,/scheme,246349,<me>向<t>说明自己的计划。,<me>讲起了自己的计划。,0,UPDATED
4.4,确认,確認,特别,运河宝物库神殿一定几率掉落,/confirm,246348,<me>开始对<t>进行确认。,<me>开始进行确认。,0,UPDATED
4.4,哼歌,鼻歌,特别,"朱色慕恋<br/>文镇（红玉海X:27.8 , Y:16.4）",/hum,246347,<me>为<t>哼唱了一首歌。,<me>开始哼唱一首歌。,0,UPDATED
4.4,波波托步,ポポトステップ,特别,官网道具商城购买,/popotostep,246346,<me>对<t>跳起了波波托步。,<me>跳起了波波托步。,0,UPDATED
4.4,幻想舞步,ゲットファンタジー,特别,官网道具商城购买,/getfantasy,246345,<me>对<t>跳起了幻想舞步。,<me>跳起了幻想舞步。,0,UPDATED
4.3,说明,説明,通常,"物资负责人(狼狱停船场 X:4.4 Y:6.1)兑换<br/>狼印战绩：15,000",/elucidate,246344,<me>对<t>进行了说明。,<me>进行了说明。,0
4.36,好冷,寒がる,特别,优雷卡恒冰之地的变异宝箱一定几率开启获得<br/>可通过演技教材:好冷学习，可在交易板购买,/shiver,246343,<me>觉得<t>好冷。,<me>感觉好冷。,0,UPDATED
4.35,好热,暑がる,特别,"从天之御柱获得天之陶器碎片进行交换<br/>海贼众的资材负责人(红玉海 X:21.2 Y:9.3)<br/>天之陶器碎片：10",/sweat,246342,<me>感觉热意从<t>身上扑面而来。,<me>觉得好热。,0,UPDATED
4.36,撩水,水をかける,通常,季节活动：红莲祭（2019）<br/>可等次年道具商城购买,/splash,246341,<me>向<t>撩起水花。,<me>撩起了水花。,0
4.3,胡鹰之舞,ヨルダンス,特别,"鱼商(太阳神草原 X:5.8 Y:23.4)兑换<br/>鲶鱼小判：8<br/>需要推进其蛮族声望任务，才能在其商店解放交换",/yoldance,246340,<me>在<t>面前开始跳起了胡鹰之舞。,<me>跳起了胡鹰之舞。,0,UPDATED
4.5,究极,アルテマ,特别,国际服实体特典,/ultima,246339,<me>向<t>展现了究极的力量。,<me>展开双翼，发动究极！,0,UPDATED
*,侧步,サイドステップ,特别,官网道具商城购买,/sidestep,246338,<me>在<t>面前秀起了侧步。,<me>跳起了侧步。,0,UPDATED
*,方形步,ボックスステップ,特别,官网道具商城购买,/boxstep,246337,<me>对着<t>跳起了方形步。,<me>踩着方形步翩翩起舞。,0,UPDATED
*,打招呼,挨拶する,通常,千里急报<br/>主线任务Lv70,/greet,246336,<me>向<t>打招呼。,<me>打了个招呼。,0
*,大吃一惊,仰天,通常,"霞(金碟游乐场 X:7.2 Y:7.3)购买<br/>5,000金",/aback,246335,<t>令<me>大吃一惊。,<me>大吃了一惊。,0
*,单膝跪地,膝を突く,特别,"艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本",/winded,246334,<me>在<t>面前单膝跪地。,<me>单膝跪地。,0,UPDATED
*,害怕,怯える,特别,"艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本",/tremble,246333,<me>被<t>吓得抱住了头。,<me>害怕地抱住了头。,0,UPDATED
*,蹦跳声援小红,声援：赤,特别,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerjumpred,246332,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
*,挥舞声援小黄,声援：黄,特别,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerwaveyellow,246331,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
*,前后声援小蓝,声援：青,特别,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheeronblue,246330,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
*,魅惑拥抱,魅惑の抱擁,特别,"摩偷罗(基拉巴尼亚边区 X:20.9 Y:26.2)兑换<br/>魔金锡币：5<br/>需要推进其蛮族声望任务，才能在其商店解放交换",/charmed,246329,<me>被<t>迷得神魂颠倒。,<me>中了魅惑拥抱。,0,UPDATED
4.36,练武,演舞,通常,官网道具商城购买,/crimsonlotus,246328,<me>在<t>面前练起武来。,<me>开始练武。,0
*,百万核爆,メガフレア,特别,官网道具商城购买,/megaflare,246327,<me>对<t>使用了“百万核爆”，没有造成伤害。,<me>放出了核爆般的光芒。,0,UPDATED
*,祝祷,おまじない,特别,"床单(红玉海 X:29.3 Y:16.8)兑换<br/>珊瑚币：3<br/>需要推进其蛮族声望任务，才能在其商店解放交换",/ritualprayer,246324,<me>开始为<t>祝祷。,<me>开始祝祷。,0,UPDATED
*,练拳,格闘訓練,特别,新的冒险<br/>主线任务Lv70,/box,246323,<me>对<t>一个右直拳接一个左勾拳。,<me>练起了拳。,0,UPDATED
*,稍息,休め,特别,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/atease,246322,<me>对<t>做出了稍息的姿势。,<me>做出了稍息的姿势。,0,UPDATED
*,立正,気をつけ,特别,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/attention,246321,<me>对<t>做出了立正的姿势。,<me>做出了立正的姿势。,0,UPDATED
7.4,说话,,通常,,/converse,246320,<me>和<t>说起了话。,<me>说起了话。,1,NEW
*,深呼吸,深呼吸,特别,成就：可靠的队长1<br/>完成10次分队攻略任务。,/breathcontrol,246319,<me>在<t>面前做起了深呼吸。,<me>做起了深呼吸。,0,UPDATED
*,仰卧起坐,腹筋運動,特别,成就：可靠的队长1<br/>完成10次分队攻略任务。,/situps,246318,<me>在<t>面前做起了仰卧起坐。,<me>做起了仰卧起坐。,0,UPDATED
*,俯卧撑,腕立て伏せ,特别,成就：可靠的队长1<br/>完成10次分队攻略任务。,/pushups,246317,<me>在<t>面前做起了俯卧撑。,<me>做起了俯卧撑。,0,UPDATED
*,深蹲,スクワット,特别,成就：可靠的队长1<br/>完成10次分队攻略任务。,/squats,246316,<me>在<t>面前做起了深蹲。,<me>做起了深蹲。,0,UPDATED
*,行东方礼,東方風お辞儀,通常,失去斗志的协助者<br/>主线任务Lv62,/easternbow,246315,<me>恭敬地对<t>行了东方礼。,<me>恭敬地行了东方礼。,0
*,蓄力迸发,力を高める,通常,官网道具商城购买,/powerup,246314,<me>对着<t>爆气。,<me>开始蓄力。,0
7.4,水中翻跟头,,通常,,/waterflip,246313,,,1,NEW
7.4,浮水,,特别,,/waterfloat,246312,,,1,NEW
*,小黄莺之舞,歌姫を真似る,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/songbird,246311,<me>在<t>面前跳起了小黄莺之舞。,<me>跳起了小黄莺之舞。,0,UPDATED
